discontinued_date,update_type,initial_posting_date,generic_name,update_date,therapeutic_category,dosage_form,company_name,status,availability,shortage_reason,brand_name,route,year,duration_days
2025-07-23,New,2025-07-23,"Potassium Chloride Tablet, Extended Release",2025-07-23,Endocrinology/Metabolism,Tablet,"Upsher-Smith Laboratories, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,KLOR-CON,ORAL,2025,0
,Reverified,2023-03-10,Clonazepam Tablet,2025-10-15,Neurology,Tablet,Aurobindo Pharma USA,Current,Available, Available,CLONAZEPAM,ORAL,2023,950
,Reverified,2022-03-01,Dextrose Monohydrate 10% Injection,2026-03-02,Endocrinology/Metabolism,Injection,B. Braun Medical Inc.,Current,Available, Available,DEXTROSE,INTRAVENOUS,2022,1462
2025-09-19,New,2025-09-19,Pilocarpine Hydrochloride Tablet,2025-09-19,Other,Tablet,"Actavis Pharma, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,PILOCARPINE HYDROCHLORIDE,ORAL,2025,0
,Reverified,2018-03-23,Ketorolac Tromethamine Injection,2026-02-25,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",Current,Unavailable,Other,KETOROLAC TROMETHAMINE,INTRAMUSCULAR,2018,2896
,Reverified,2023-02-15,Rocuronium Bromide Injection,2025-08-19,Anesthesia,Injection,"Meitheal Pharmaceuticals, Inc.",Current,Available, Available,ROCURONIUM BROMIDE,INTRAVENOUS,2023,916
,Reverified,2017-11-14,Heparin Sodium Injection,2026-03-04,Hematology,Injection,Baxter Healthcare,Current,Unavailable,Shortage of an inactive ingredient component,HEPARIN SODIUM IN SODIUM CHLORIDE,INTRAVENOUS,2017,3032
2025-06-13,New,2025-06-13,Pravastatin Sodium Tablet,2025-06-13,Cardiovascular,Tablet,"Teva Pharmaceuticals USA, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,PRAVASTATIN SODIUM,ORAL,2025,0
,Reverified,2020-04-10,Dexmedetomidine Hydrochloride Injection,2026-03-04,Anesthesia,Injection,Baxter Healthcare,Current,Available, Available,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,INTRAVENOUS,2020,2154
2025-06-13,New,2025-06-13,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,2025-06-13,Cardiovascular,Tablet,Torrent Pharma Inc.,To Be Discontinued,To Be Discontinued,Not Applicable,,,2025,0
2025-11-21,New,2025-11-21,"Potassium Chloride Tablet, Extended Release",2025-11-21,Endocrinology/Metabolism,Tablet,"Teva Pharmaceuticals USA, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,POTASSIUM CHLORIDE,ORAL,2025,0
,Reverified,2022-10-12,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",2026-02-16,Psychiatry,Tablet,SpecGx LLC,Current,Available, Available,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,ORAL,2022,1223
,Revised,2018-03-23,Ropivacaine Hydrochloride Injection,2026-03-06,Anesthesia,Injection,Eugia US LLC,Current,Available, Available,ROPIVACAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, PERINEURAL",2018,2905
,Revised,2023-03-24,Hydrocortisone Sodium Succinate Injection,2026-02-24,Pulmonary/Allergy,Injection,"Hospira, Inc., a Pfizer Company",Resolved,Resolved,Not Applicable,SOLU-CORTEF,"INTRAMUSCULAR, INTRAVENOUS",2023,1068
,Reverified,2022-06-28,Remifentanil Hydrochloride Injection,2026-02-25,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",Current,Available, Available,REMIFENTANIL HYDROCHLORIDE,INTRAVENOUS,2022,1338
,Revised,2022-02-14,Dextrose Monohydrate 5% Injection,2026-03-04,Endocrinology/Metabolism,Injection,Baxter Healthcare,Current,Limited Availability,Demand increase for the drug,DEXTROSE,INTRAVENOUS,2022,1479
2026-01-05,New,2026-01-05,Diltiazem Hydrochloride Injection,2026-01-05,Cardiovascular,Injection,"Hospira, Inc., a Pfizer Company",To Be Discontinued,To Be Discontinued,Not Applicable,DILTIAZEM HYDROCHLORIDE,INTRAVENOUS,2026,0
2025-07-17,New,2025-07-17,"Potassium Citrate Tablet, Extended Release",2025-07-17,Renal,Tablet,Watson Pharma Private Limited,To Be Discontinued,To Be Discontinued,Not Applicable,POTASSIUM CITRATE,ORAL,2025,0
,Reverified,2012-02-22,Lidocaine Hydrochloride Injection,2026-02-25,Anesthesia,Injection,"Fresenius Kabi USA, LLC",Current,Unavailable,Demand increase for the drug,XYLOCAINE,"INFILTRATION, PERINEURAL",2012,5117
,Reverified,2018-03-23,Ropivacaine Hydrochloride Injection,2026-02-25,Anesthesia,Injection,"Fresenius Kabi USA, LLC",Current,Unavailable,Unavailable,NAROPIN,"EPIDURAL, INFILTRATION",2018,2896
,Reverified,2017-11-01,Hydromorphone Hydrochloride Injection,2026-02-25,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",Current,Unavailable,Other,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",2017,3038
,Reverified,2023-02-15,Rocuronium Bromide Injection,2026-03-04,Anesthesia,Injection,Baxter Healthcare,Current,Available, Available,ROCURONIUM BROMIDE,INTRAVENOUS,2023,1113
,Reverified,2017-11-06,Dopamine Hydrochloride Injection,2026-03-13,Cardiovascular,Injection,"Hospira, Inc., a Pfizer Company",Current,Available, Available,DOPAMINE HYDROCHLORIDE,INTRAVENOUS,2017,3049
,Revised,2017-11-06,Dobutamine Hydrochloride Injection,2026-03-13,Cardiovascular,Injection,"Hospira, Inc., a Pfizer Company",Current,Unavailable,Other,DOBUTAMINE IN DEXTROSE,INTRAVENOUS,2017,3049
,Reverified,2023-01-19,Quinapril Hydrochloride Tablet,2026-03-02,Cardiovascular,Tablet,"Lupin Pharmaceuticals, Inc.",Current,Unavailable,Requirements related to complying with good manufacturing practices,,,2023,1138
,Revised,2023-07-18,Liraglutide Injection,2026-03-12,Endocrinology/Metabolism,Injection,"Hikma Pharmaceuticals USA, Inc.",Current,Available, Available,LIRAGLUTIDE,SUBCUTANEOUS,2023,968
2025-09-08,New,2025-09-08,Sumatriptan Nasal Spray,2025-09-08,Neurology,Nasal Spray,Prasco Laboratories,To Be Discontinued,To Be Discontinued,Not Applicable,SUMATRIPTAN,NASAL,2025,0
,Revised,2017-11-01,Hydromorphone Hydrochloride Injection,2026-03-12,Analgesia/Addiction,Injection,"Hikma Pharmaceuticals USA, Inc.",Current,Available, Available,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",2017,3053
,Reverified,2018-03-23,Ropivacaine Hydrochloride Injection,2026-02-25,Anesthesia,Injection,"Fresenius Kabi USA, LLC",Current,Available, Available,NAROPIN,"EPIDURAL, INFILTRATION, PERINEURAL",2018,2896
,Revised,2012-02-22,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",2026-03-13,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",Current,Limited Availability,Other,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,EPIDURAL,2012,5133
2025-06-13,New,2025-06-13,Doxycycline Hyclate Tablet,2025-06-13,Anti-Infective,Tablet,"Teva Pharmaceuticals USA, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,DOXYCYCLINE HYCLATE,ORAL,2025,0
